,name,album,artist,release_date,length,popularity,track_id,mode,acousticness,danceability,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,duration_ms,time_signature,genre
32,Million Reasons,Joanne (Deluxe),Lady Gaga,2016-10-21,205280,76,7dZ1Odmx9jWIweQSatnRqo,1,0.494,0.6659999999999999,0.423,0.0,0.106,0.154,-8.012,0.043,129.89,205280,4,"['dance pop', 'pop']"
33,Needed Me,ANTI (Deluxe),Rihanna,2016-01-28,191600,79,4pAl7FkDMNBsjykPXo91B3,0,0.11,0.6709999999999999,0.314,0.0,0.0825,0.296,-8.091000000000001,0.244,110.898,191600,4,"['pop', 'pop rap', 'rap', 'toronto rap', 'trap', 'urban contemporary']"
34,Formation,Lemonade,Beyoncé,2016-04-23,206080,75,6g0Orsxv6glTJCt4cHsRsQ,0,0.00532,0.8959999999999999,0.621,0.0,0.196,0.818,-6.857,0.237,121.966,206080,4,"['houston rap', 'pop', 'pop rap', 'trap queen']"
35,Muleque De Vila - Ao Vivo,3Fs (Ao Vivo),Projota,2016-05-27,277613,61,4kGoQLmgPxVcDzhdeqvlOp,1,0.485,0.721,0.7,0.0,0.8370000000000001,0.645,-6.028,0.0673,134.016,277613,4,"['brazilian edm', 'brazilian hip hop', 'pop nacional']"
36,"i hate u, i love u (feat. olivia o'brien)",us,gnash,2016-03-25,251033,80,7vRriwrloYVaoAe3a9wJHe,0,0.687,0.492,0.275,0.0,0.101,0.18,-13.4,0.3,92.6,251034,4,"['pop', 'sad rap', 'social media pop']"
37,Heathens,Heathens,Twenty One Pilots,2016-06-16,195920,81,6i0V12jOa3mr6uu4WYhUBr,0,0.0841,0.732,0.396,3.58e-05,0.105,0.5479999999999999,-9.347999999999999,0.0286,90.024,195920,4,"['modern rock', 'rock']"
38,Pé Na Areia - Ao Vivo,Alma Brasileira (Ao Vivo / Edição Especial),Diogo Nogueira,2016-09-23,216839,61,5IiqKPucgFCmLTb5p584dd,1,0.647,0.613,0.764,0.0,0.505,0.64,-5.997000000000001,0.0409,158.025,216840,4,"['mpb', 'pagode', 'samba', 'samba moderno']"
39,7 Years,Lukas Graham,Lukas Graham,2016-04-01,237300,79,5kqIPrATaCc2LqxVWzQGbk,1,0.287,0.765,0.473,0.0,0.391,0.34,-5.829,0.0514,119.992,237300,4,"['danish pop', 'pop', 'scandipop']"
40,Go Fuck Yourself,First Steps,Two Feet,2016-07-29,129599,78,4NZrZgrRoR4GwR7flWOXRI,1,0.5710000000000001,0.765,0.327,0.0479,0.0787,0.292,-8.029,0.277,74.931,129600,4,"['indie poptimism', 'modern rock']"
41,Deus é Deus,Nada Além da Graça,Delino Marçal,2016-04-29,271209,61,2zIUZPKNlGrnlxagZmKTFd,1,0.379,0.463,0.457,0.0,0.289,0.167,-7.034,0.0322,113.897,271209,4,"['adoracao', 'brazilian gospel']"
42,Pra Sempre Com Você - Ao Vivo,Como. Sempre Feito. Nunca (ao Vivo),Jorge & Mateus,2016-02-19,207520,61,2KGv51jgAz8OTjNPyRryfq,1,0.384,0.625,0.888,0.0,0.8740000000000001,0.544,-2.359,0.0382,97.99600000000001,207520,4,"['pop nacional', 'sertanejo universitario']"
43,Como Faz Com Ela - Ao Vivo,Marília Mendonça - Ao Vivo,Marília Mendonça,2016-03-04,150348,61,2Gvn46nwyQhUnQiFhlP7WX,0,0.427,0.655,0.9129999999999999,0.0,0.105,0.9179999999999999,-3.585,0.133,171.961,150349,4,"['pop nacional', 'sertanejo universitario']"
44,Seu Polícia - Ao Vivo,Ao Vivo em São José do Rio Preto (Deluxe),Zé Neto & Cristiano,2016-11-11,169466,61,39995SwI9fcO5ON9aku0gU,1,0.361,0.687,0.878,0.0,0.211,0.42,-4.193000000000001,0.0491,140.031,169467,4,['sertanejo pop']
